5.000000000000000104e-03	6.992926795879424763e-19
1.000000000000000021e-02	3.537138841375878905e-12
1.499999999999999944e-02	5.527671402994236892e-10
2.000000000000000042e-02	7.904590451782760787e-09
2.999999999999999889e-02	1.795253561304385298e-07
4.000000000000000083e-02	1.209843830905081818e-06
5.000000000000000278e-02	4.505814277777833885e-06
5.999999999999999778e-02	1.200938586336057581e-05
1.000000000000000056e-01	1.308182161431216775e-04
1.250000000000000000e-01	3.440122425628765082e-04
1.499999999999999944e-01	6.833147383491688844e-04
2.000000000000000111e-01	1.850293738378703265e-03
2.999999999999999889e-01	6.401433718638323105e-03
5.000000000000000000e-01	2.341073511914623650e-02
5.999999999999999778e-01	3.454394115988090180e-02
6.999999999999999556e-01	4.656475284769389517e-02
8.000000000000000444e-01	5.898831160425950515e-02
9.000000000000000222e-01	7.146176220343497532e-02
1.000000000000000000e+00	8.373706580691779588e-02
2.000000000000000000e+00	1.785137234781898896e-01
3.000000000000000000e+00	2.271631849023209859e-01
4.000000000000000000e+00	2.497159743923832442e-01
5.000000000000000000e+00	2.584994953781696858e-01
6.000000000000000000e+00	2.598495055321226599e-01
7.000000000000000000e+00	2.571105615814929801e-01
8.000000000000000000e+00	2.521231167361751568e-01
1.000000000000000000e+01	2.391523748621883216e-01
2.000000000000000000e+01	1.770124449315907955e-01
3.000000000000000000e+01	1.375464804981086087e-01
5.000000000000000000e+01	9.443580443614089936e-02
1.000000000000000000e+02	5.270910616406087462e-02
2.000000000000000000e+02	2.787076234938358488e-02
3.000000000000000000e+02	1.893475484439612055e-02
5.000000000000000000e+02	1.153480287687005425e-02
1.000000000000000000e+03	5.833799710800110366e-03
2.000000000000000000e+03	2.933690019462365829e-03
3.000000000000000000e+03	1.959543496976106757e-03
5.000000000000000000e+03	1.177530293862483375e-03
6.000000000000000000e+03	9.816515971294895691e-04
1.000000000000000000e+04	5.894429256917324946e-04
