1.250000000000000000e-01	2.399412737877538504e+00	2.216987214876186219e+00	3.042998128544283087e+00	4.265789705971700485e+00	6.064630783763497845e+00	4.157912497932067630e+00
2.000000000000000111e-01	2.824952439009175142e-01	2.982763033552321974e-01	3.764403997186726580e-01	5.136159732630971586e-01	7.386025915426367439e-01	4.788883489675163641e-01
2.999999999999999889e-01	6.457005545735365615e-02	7.115719237384202089e-02	9.311499323104380221e-02	1.251125670332162154e-01	1.867559045638078064e-01	1.155069611140248781e-01
5.000000000000000000e-01	1.534500231534887196e-02	1.638262970523868614e-02	2.116444986383794052e-02	2.880770713619459217e-02	4.289258045428194499e-02	2.743962334132868733e-02
5.999999999999999778e-01	9.661455574634507729e-03	1.037099901697555865e-02	1.310312456469764700e-02	1.796420418298493027e-02	2.656511671891132603e-02	1.748866526911907818e-02
6.999999999999999556e-01	7.072283515617377309e-03	7.076679050013919003e-03	9.100378708868456235e-03	1.298531397114326136e-02	1.984725311696755243e-02	1.186154940230422714e-02
8.000000000000000444e-01	5.303167254116277624e-03	5.432874663562846027e-03	6.764304102604160041e-03	9.449905915139011209e-03	1.412689652466886554e-02	8.857124569874719536e-03
1.000000000000000000e+00	3.238645439705610096e-03	3.432322102382067471e-03	4.409467674073536819e-03	6.163183390891650675e-03	9.065855008298226089e-03	5.678905294893090566e-03
2.000000000000000000e+00	1.080167489781578291e-03	1.469547912495630789e-03	1.826529391226500111e-03	2.595076350784684700e-03	3.808584339612032348e-03	2.417314178969010886e-03
3.000000000000000000e+00	1.002963205328978591e-03	1.092390170256200355e-03	1.423878136866075931e-03	2.021800932308524899e-03	2.948940532916007051e-03	1.874432911673788640e-03
6.000000000000000000e+00	1.010751034231320306e-03	1.085813456107764547e-03	1.341754125806915356e-03	1.951887321924518099e-03	2.916858129728503151e-03	1.822301307512272936e-03
7.000000000000000000e+00	1.030350481034651104e-03	1.090120788290395394e-03	1.365058029932671732e-03	2.006475337671672059e-03	3.020816188452239009e-03	1.897677672039123093e-03
8.000000000000000000e+00	1.057272392714641998e-03	1.162937602747636046e-03	1.541377975838729725e-03	2.141367417717505040e-03	3.166838314269592933e-03	2.019769645178142933e-03
1.000000000000000000e+01	1.285421678630826580e-03	1.391638221485310290e-03	1.686112647758562528e-03	2.456496732907293302e-03	3.463244173925405199e-03	2.188910482896756510e-03
2.000000000000000000e+01	2.313346055371218873e-03	2.427830107357378808e-03	3.066313344609675196e-03	4.428294426403561919e-03	6.405132008002890898e-03	3.981142784467346131e-03
3.000000000000000000e+01	3.080212541946407596e-03	3.488199569492222464e-03	4.180751007966636811e-03	6.174524301489991637e-03	8.553141965120445583e-03	5.635249187054345264e-03
1.000000000000000000e+02	7.667337267203478725e-03	8.854048100477259972e-03	1.113068601139011356e-02	1.596813017591546327e-02	2.348989531740495670e-02	1.455511275392329905e-02
2.000000000000000000e+02	1.745083371081666834e-02	1.763793616137035100e-02	2.226286856955552243e-02	3.244717865376856719e-02	4.662111111479318865e-02	2.986868311912975124e-02
3.000000000000000000e+02	2.311682828467051531e-02	2.700794456863894744e-02	3.325949575520421864e-02	4.911994855567584223e-02	7.084993492454516595e-02	4.470010110815929999e-02
2.000000000000000000e+03	1.736056993178999031e-01	1.763994396571987588e-01	2.213593200515979742e-01	3.228257230118913856e-01	4.576202394916761840e-01	2.801908461522261140e-01
3.000000000000000000e+03	2.232212251546711601e-01	2.682184381162197040e-01	3.282090274556278553e-01	4.839961480182287112e-01	6.860866944019576863e-01	4.266276734948631910e-01
5.000000000000000000e+03	3.759251165388093341e-01	4.468518690301923058e-01	5.464901128847972078e-01	8.063374944106072029e-01	1.143284336683168867e+00	7.049340282265926794e-01
1.000000000000000000e+04	8.272232579675916631e-01	8.642591023337367062e-01	1.066604319937243250e+00	1.560400395950865216e+00	2.317406597295369686e+00	1.411759360903884319e+00
